docno,current_document,round_no,query_id,username,group,rankings,_id,position,query
ROUND-01-144_144_0_B-SUL8M1,"There are many used trombones for sale that are in excellent condition and extremely playable. If well cared for, a trombone can be used for many decades. Used trombones for sale, especially those which are not technically vintage, but simply have had a prior owner, can be much less expensive than new trombones and play just as well. Used trombones for sale can be found in a variety of locations. Music instrument stores, of course, may carry some used instruments. Trombones for sale can also be found at pawn shops or other resale stores and sometimes at estate or yard sales. You may also find used instruments through classified listings, such as those printed in a local newspaper or online on a classified advertisement website. Although it is possible to purchase a used trombone online. Many individual sellers will not accept returns if the trombone turns out to be different than described.",1,144,SUL8M1,144_0_B,"{u'144': {u'position': 1.0, u'score': 0.6563571}}",66a025c43042c412de8c52d3,1,trombone for sale
ROUND-01-064_064_0_B-FEHVQN,Get rid of Moths easily with this anti-moth spray available now in a Home Depot near you!,1,64,FEHVQN,064_0_B,"{u'064': {u'position': 5.0, u'score': 0.5597911}}",66a025c43042c412de8c5287,5,moths
ROUND-01-064_064_0_B-B1BWZ0,"Moths are a group of insects that includes all members of the order Lepidoptera that are not butterflies. They were previously classified as suborder Heterocera, but the group is paraphyletic with respect to butterflies and neither subordinate taxon is used in modern classifications. Moths make up the vast majority of the order. There are approximately 160,000 species of moth, many of which have yet to be described. ",1,64,B1BWZ0,064_0_B,"{u'064': {u'position': 1.0, u'score': 0.6447219}}",66a025c43042c412de8c529e,1,moths
ROUND-01-064_064_0_A-3O0NK1,"Moths are a type of insects. Moths are not butterflies in opposition to common belief. To distinguish moths from butterflies you can see that butterflies have thin antennae and Moth antennae are usually feathery with no ball on the end. Moth fossils have been found that may be 190 million years old. There are many types of moths, for example Antler moth has a cream, antler-shaped mark, the Black Mountain Moth has a dark central band with a black spot in the middle, Cocksfoot Moth is a micro moth that is only 3 or 4mm long. One of the earliest known species that is thought to be an ancestor of moths is Archaeolepis mane.",1,64,3O0NK1,064_0_A,"{u'064': {u'position': 2.0, u'score': 0.63932186}}",66a025c43042c412de8c529f,2,moths
ROUND-01-064_064_0_A-MSW74H,"Moths are the nocturnal cousins of butterflies. They undergo a remarkable metamorphosis from egg to larva and chrysalis to adult. These nocturnal insects, part of the Lepidoptera order, boast a diverse array of species known for beautiful varied wing patterns and vital ecological roles. Moths serve as crucial pollinators for nocturnal plants and contribute significantly to biodiversity by supporting food webs as prey for birds and bats. Despite their ecological importance, moths face challenges like habitat loss and light pollution, impacting their populations. Understanding moths behaviors and diversity aids conservation efforts and fosters appreciation for these creatures. Education and habitat preservation are vital to ensure moths thrive, benefiting ecosystems and human interests alike.",1,64,MSW74H,064_0_A,"{u'064': {u'position': 3.0, u'score': 0.6068058}}",66a025c43042c412de8c52ab,3,moths
ROUND-01-064_064_0_A-0S4RPX,"Moths aren't terribly dangerous household pests. In fact, many of them can be quite pretty or fun to watch as they fly seemingly erratically around well-lit areas of your home. Moths are part of the Lepidoptera order of insects, the same one that contains butterflies. There are at least 160,000 known species of moths, only a few of which you'd ever find inside your home. The adult moths aren't a big threat to your home on their own, but their larvae commonly eat through fabric, especially cotton and wool, and dry goods. This can be a huge nuisance and ruin many good clothes, food, and other household items. You may be able to get rid of moths with cedar, certain herbs, regular vacuuming, and sticky traps, among other methods. Moreover, to prevent moths from getting into your belongings try keep storage areas dry because moths thrive in moist, humid surroundings.",1,64,0S4RPX,064_0_A,"{u'064': {u'position': 4.0, u'score': 0.6299047}}",66a025c43042c412de8c52b6,4,moths
ROUND-01-161_161_0_B-FEHVQN,BUY BUY SMALL FURNITURE FOR SMALL SPACE NOW ON HOME DEPOT WORTH IT 10/10 REVIEWS,1,161,FEHVQN,161_0_B,"{u'161': {u'position': 2.0, u'score': 0.65138614}}",66a025c43042c412de8c5272,2,furniture for small spaces
ROUND-01-161_161_0_A-5I47JG,"In a compact space, choosing just-right furnishings can make all the difference between your home feeling cramped or comfortable. From practically invisible acrylic chairs to shelving that flexes with the needs of your space. It is possible to make a room feel larger than it really is: Choosing the right colors and finishes and arranging furniture properly can create the illusion of space. That classic advice is really true: Strategically placed mirrors will make a room feel larger. Surprising as it sounds, adding one oversize piece of furniture to a small room, tricks the brain into perceiving that the room must be fairly large if it can hold something oversize. Remember: Living efficiently does not have to mean giving up style and beauty. Kyle Schuneman, co-author of ""The First Apartment Book: Cool Design for Small Spaces""",1,161,5I47JG,161_0_A,"{u'161': {u'position': 5.0, u'score': 0.6490818}}",66a025c43042c412de8c526f,5,furniture for small spaces
ROUND-01-161_161_0_A-5NT5J0,"Buying furniture for small spaces is not easy. Small spaces don't always offer enough storage or floor space to live comfortably, but even the tiniest apartments can feel roomy with the right space-saving furniture. From micro-loft apartments to tiny homes, small spaces create opportunities for a streamlined, minimalist approach to your home's design and decor. Many furniture designers offer solutions with items that transform into something else or fold up neatly when not in use. With transforming furniture, a small apartment can be just as comfortable as a large home. Transformable furniture is a piece of furniture that has more than one function. It usually converts from one component to another, reducing the number of furniture pieces in a particular space. No matter how much or how small space you have, this furniture helps you make better use of it.",1,161,5NT5J0,161_0_A,"{u'161': {u'position': 1.0, u'score': 0.66749877}}",66a025c43042c412de8c5270,1,furniture for small spaces
ROUND-01-161_161_0_A-MSW74H,"Are you living in a small space and unsure which furniture to choose to optimize your area? The solution is to consult a professional architect who can transform your small space into a versatile area according to your needs. Opting for modular furniture, such as a sofa bed, or utilizing vertical space are interesting solutions. For example, instead of placing a wardrobe and a bed side by side, which would waste half of your space, consider installing a small dressing area with the bed above it, accessed by a staircase system. Do not hesitate to seek the advice of skilled architects who can guide you in making the best choices so you don't feel cramped within four walls. Versatile furnitures and space optimization are the keys to don't feel that you live in a small house!",1,161,MSW74H,161_0_A,"{u'161': {u'position': 4.0, u'score': 0.65956926}}",66a025c43042c412de8c5271,4,furniture for small spaces
ROUND-01-161_161_0_B-X3CQB4,"Can condo dwellers still have it all while living small? Yes! insists designer Karin Bohne of Vancouvers Moeski Design Agency. Although space is often sacrificed for urban living, Bohne says a ton of square footage isnt a requirement for a well designed home. A little strategic planning can go a long way in a small space, says the designer. A common mistake people make when decorating a new condo is rushing out to a couple stores to buy things just to fill the space. Dont feel like you have to go out and buy everything at once, explains Bohne. Oftentimes the space will end up looking more like a catalogue than a home. Instead the designer recommends taking your time, doing your research, and selecting pieces that will enhance your home and represent your personal style.",1,161,X3CQB4,161_0_B,"{u'161': {u'position': 6.0, u'score': 0.5833895}}",66a025c43042c412de8c5273,6,furniture for small spaces
ROUND-01-161_161_0_B-I2V2PA,"Small spaces don't always offer enough storage or floor space to live comfortably, but even the tiniest apartments can feel roomy with the right space-saving furniture. From micro-loft apartments to tiny homes, small spaces create opportunities for a streamlined, minimalist approach to your home's design and decor. You can find small space furniture for every room of your home at Ashley! Beds, sofas, tables, chairs, TV stands, and more, specifically for small apartments. Find small sofas, sectionals, tables, desks, beds and more for your small spaces at Wayfair, find the perfect furniture for your needs!

Many furniture designers offer solutions with items that transform into something else or fold up neatly when not in use. Whether you're thinking about downsized living or have a small space at home that could use some customization, discover these 15 transformable pieces at Ashley that will make small living feel larger than life!",1,161,I2V2PA,161_0_B,"{u'161': {u'position': 3.0, u'score': 0.6633081}}",66a025c43042c412de8c52d4,3,furniture for small spaces
ROUND-01-164_164_0_A-3XNR8C,"Looking for a place to find your next hobby? A hobby shop is what you need! A hobby store is a retail establishment that sells materials and equipment related to a specific hobby or set of hobbies. These can include items such as model kits, craft supplies, board games, and more. They are often geared towards enthusiasts of the hobby and may also offer classes or workshops to help customers learn new skills. Classical hobby stores specialize in modelling and craft supplies and specialty magazines for model airplanes, model trains, ship models, house and building models. Some hobby shops sell R/C cars, pinewood derby kits, boats, and model or remote control planes.",1,164,3XNR8C,164_0_A,"{u'164': {u'position': 2.0, u'score': 0.66642225}}",66a025c43042c412de8c5274,2,hobby stores
ROUND-01-164_164_0_A-4FOIHT,"This is a list of hobby shops in the United States which are known to carry model railroad equipment. The list is in sorted order by Zip Code, so that shops which are near each other on the planet will tend to be near each other in the list, even though they may be in different cities. html pointers are included for any shop for which we have an email address or a web site. Additionally, there are pointers at the beginning of the list to each state. This version of the list is in one part; a two part version is also available on this site in case this one chokes your reader. We try to keep this list up to date, but you should always call or email ahead before you make a trip! Your help in keeping this list up to date is appreciated.",1,164,4FOIHT,164_0_A,"{u'164': {u'position': 3.0, u'score': 0.5916033}}",66a025c43042c412de8c5275,3,hobby stores
ROUND-01-164_164_0_B-8PDCC8,"This is a list of hobby shops in the United States which are known to carry model railroad equipment. The list is in sorted order by Zip Code, so that shops which are near each other on the planet will tend to be near each other in the list, even though they may be in different cities. html pointers are included for any shop for which we have an email address or a web site. Additionally, there are pointers at the beginning of the list to each state. This version of the list is in one part; a two part version is also available on this site in case this one chokes your reader. We try to keep this list up to date, but you should always call or email ahead before you make a trip! Your help in keeping this list up to date is appreciated.",1,164,8PDCC8,164_0_B,"{u'164': {u'position': 4.0, u'score': 0.5916033}}",66a025c43042c412de8c5276,4,hobby stores
ROUND-01-164_164_0_B-DVQRVN,"This is a list of hobby shops in the United States which are known to carry model railroad equipment. The list is in sorted order by Zip Code, so that shops which are near each other on the planet will tend to be near each other in the list, even though they may be in different cities. html pointers are included for any shop for which we have an email address or a web site. Additionally, there are pointers at the beginning of the list to each state. This version of the list is in one part; a two part version is also available on this site in case this one chokes your reader. We try to keep this list up to date, but you should always call or email ahead before you make a trip! Your help in keeping this list up to date is appreciated.",1,164,DVQRVN,164_0_B,"{u'164': {u'position': 5.0, u'score': 0.5916033}}",66a025c43042c412de8c5277,5,hobby stores
ROUND-01-164_164_0_A-8HAMF4,"A hobby store or hobby shop is a store that specializes in modelling and craft supplies and specialty magazines for model airplanes like military craft, model trains like locomotives, ship models and house and building models. Some hobby shops sell R/C cars, pinewood derby kits, boats, and model or remote control planes. There are many hobby stores in the world. Some of them are web stores like HobbyTown who offer a wide range of hobby products, such as radio control, models, rockets, games and toys. Another option is MegaHobby where you can find over 50,000 products for model building, painting and more, and get same day shipping, free shipping and more. A subtype of hobby stores are game stores, which sells jigsaw puzzles, card and board games and role playing games. Such stores sometimes may also contain community space for hobbyists to mingle and play games. Hobby stores are rising.",1,164,8HAMF4,164_0_A,"{u'164': {u'position': 1.0, u'score': 0.67551875}}",66a025c43042c412de8c52d5,1,hobby stores
ROUND-01-166_166_0_A-3O0NK1,"computer programming is about creating sequences of instructions, called programs, that computers can follow to perform tasks. it includes systems programming, web development, and computer engineering. computer programming is a job that requires the development or continued development and maintenance of a software program. Most of computer programming workers have a degree in engineering or a related field like computer science, data engineering, computer engineering, programming, etc. A computer can interpret many programming languages for different types of applications. Computer programming is constantly evolving with new technologies and programming languages. programming plays a crucial role in innovation and enabling the development of solutions to complex problems.",1,166,3O0NK1,166_0_A,"{u'166': {u'position': 2.0, u'score': 0.6105582}}",66a025c43042c412de8c5278,2,computer programming
ROUND-01-166_166_0_A-0S4RPX,"Computers can do amazing things, from basic laptops capable of simple word processing and spreadsheet functions to incredibly complex supercomputers completing millions of financial transactions a day and controlling the infrastructure that makes modern life possible. But no computer can do anything until a computer programmer tells it to behave in specific ways. That's what programming is all about. Computer programming refers to a technological process for telling a computer which tasks, e.g. displaying an image on a webpage or changing the font of a section of text, to perform in order to solve problems. You can think of programming as a collaboration between humans and computers, in which humans create instructions for a computer to follow in a language that computers can understand such as JavaScript, HTML, SQL, Python. Intend to work in this field? Know that it requires patience, troubleshooting and errors fixing skills, and be a learning worker.",1,166,0S4RPX,166_0_A,"{u'166': {u'position': 3.0, u'score': 0.6185678}}",66a025c43042c412de8c5279,3,computer programming
ROUND-01-166_166_0_A-MSW74H,"What is programming? Programming is writing a series of instructions for a computer in a language it understands to solve complex problems. For the same problem, there are infinite ways to solve it. A good programmer must know how to solve the problem in the most efficient way. Programming also involves understanding how the computer works and translating our needs in the right way. The computer understands a multitude of languages, each with its advantages for solving specific problems. Knowing how to program well also means handling different languages to choose the most suitable one for the task at hand. In the reality of computer programming, efficiency, problem-solving skills, and language proficiency are key elements. Understanding these principles is crucial for anyone interested in mastering computer programming.",1,166,MSW74H,166_0_A,"{u'166': {u'position': 4.0, u'score': 0.60404223}}",66a025c43042c412de8c527a,4,computer programming
ROUND-01-166_166_0_B-8PDCC8,"Technical Writing: Description: This position often involves creating or editing technical papers or manuals. Requirements: This position often requires that the individual has a basic understanding about the subject being written about and have good writing skills. Programmer or Software developer: Description: A job that requires the development or continued development and maintenance of a software program. Requirements: A basic to extensive understanding of a programming language. Because most job positions require the ability to help develop a program, they require several years of experience or a degree. Security expert: Description: Test and find vulnerabilities in a system, hardware device, or software program. Requirements: This position is for someone who has a strong familiarity with how software, hardware, and networks work and how to exploit them. Often, you need to have a good understanding of how the overall system works as well as good programming skills.",1,166,8PDCC8,166_0_B,"{u'166': {u'position': 5.0, u'score': 0.5250117}}",66a025c43042c412de8c527b,5,computer programming
ROUND-01-166_166_0_B-SUL8M1,"Computer programming is the composition of sequences of instructions, called programs, that computers who are programmed can follow to perform tasks. It involves designing and implementing algorithms for these computers, step-by-step specifications of procedures, by writing code in one or more computer programming languages. Programmers typically use high-level computer programming languages that are more easily intelligible to humans than machine code, which is directly executed by the central processing unit. Proficient computer programming usually requires expertise in several different subjects, including knowledge of the application domain, details of programming languages and generic code libraries, specialized algorithms, and formal logic.",1,166,SUL8M1,166_0_B,"{u'166': {u'position': 1.0, u'score': 0.6491144}}",66a025c43042c412de8c527c,1,computer programming
ROUND-01-170_170_0_A-K625BG,"A scooter (motor scooter) is a motorcycle with an underbone or step-through frame, a seat, a transmission that shifts without the operator having to operate a clutch lever, a platform for the rider's feet, and with a method of operation that emphasizes comfort and fuel economy. Most people use scooters to get around quickly and easily. The best electric scooter overall for most people is the Apollo Go. It has a slight edge over the competition for its features, including a suspension system and dual motors, a stylish design and a compact size, all at a reasonable price. It can go as fast as 30 kilometers per hour (faster than all other scooters), with a short breaking distance of only 5 meters. It can support up to 120 kilograms and can travel between 35 and 50 kilometers on a full charge. Buy your scooter now and enjoy feeling the wind!",1,170,K625BG,170_0_A,"{u'170': {u'position': 5.0, u'score': 0.6013565}}",66a025c43042c412de8c527d,5,scooters
ROUND-01-170_170_0_A-4L7H31,"A scooter (motor scooter) is a motorcycle with an underbone or step-through frame, a seat, a transmission that shifts without the operator having to operate a clutch lever, a platform for the rider's feet, and with a method of operation that emphasizes comfort and fuel economy. Elements of scooter design were present in some of the earliest motorcycles, and motor scooters have been made since at least 1914. ",1,170,4L7H31,170_0_A,"{u'170': {u'position': 1.0, u'score': 0.6361358}}",66a025c43042c412de8c527e,1,scooters
ROUND-01-170_170_0_B-9UD13S,"A scooter (motor scooter) is a motorcycle with an underbone or step-through frame, a seat, a transmission that shifts without the operator having to operate a clutch lever, a platform for the rider's feet, and with a method of operation that emphasizes comfort and fuel economy. Elements of scooter design were present in some of the earliest motorcycles, and motor scooters have been made since at least 1914. More recently, scooters have evolved to include scooters exceeding 250cc classified as Maxi-scooters.",1,170,9UD13S,170_0_B,"{u'170': {u'position': 3.0, u'score': 0.6368574}}",66a025c43042c412de8c527f,3,scooters
ROUND-01-170_170_0_B-DVQRVN,"A scooter (motor scooter) is a motorcycle with an underbone or step-through frame, a seat, a transmission that shifts without the operator having to operate a clutch lever, a platform for the rider's feet, and with a method of operation that emphasizes comfort and fuel economy. Elements of scooter design were present in some of the earliest motorcycles, and motor scooters have been made since at least 1914. More recently, scooters have evolved to include scooters exceeding 250cc classified as Maxi-scooters.",1,170,DVQRVN,170_0_B,"{u'170': {u'position': 2.0, u'score': 0.6368572}}",66a025c43042c412de8c5280,2,scooters
ROUND-01-170_170_0_A-5I47JG,"A motorized scooter is a stand-up scooter powered by either a small internal combustion engine or electric hub motor in its front and/or rear wheel. Classified as a form of micromobility, they are generally designed with a large center deck on which the rider stands. The first motorized scooter was manufactured by Autoped in 1915. Modern motorized scooters are popular in urban areas because they are convenient and easy to use, they offer a quick and efficient mode of transportation for short distances. As cities become more congested, motorized scooters provide a sustainable alternative to traditional gas-powered vehicles, contributing to reduced traffic and lower emissions.
One of the most popular companies that offer shared scooters is Lime. Lime provides convenient and reliable short-term rentals of scooters at an affordable price in more than 280 cities in nearly 30 countries on five continents.",1,170,5I47JG,170_0_A,"{u'170': {u'position': 4.0, u'score': 0.5935352}}",66a025c43042c412de8c52d6,4,scooters
ROUND-01-061_061_0_B-FEHVQN,worm,1,61,FEHVQN,061_0_B,"{u'061': {u'position': 1.0, u'score': 0.6647912}}",66a025c43042c412de8c5285,1,worm
ROUND-01-061_061_0_A-0S4RPX,"The word ""worms"" has various meanings: medically, it denotes parasitic worms like hookworms and pinworms; in computing, it describes self-replicating malicious software; idiomatically, it is used in phrases like ""opening a can of worms"" (creating a complicated situation) and ""worm one's way"" (acting sneakily); culturally, it can refer to the ""Worms"" video game series or the ""worm"" dance move; and geologically, it pertains to worm burrows or fossils found in sedimentary rocks; biologically, it refers to segmented worms (annelids), roundworms (nematodes), and flatworms (platyhelminthes), as well as small, soft-bodied invertebrates. And also many insects have picked up worm-related names, for example, tequila worm, silk worm, glow worm and inchworms are all actually insect larvae but they aren't actually worms.",1,61,0S4RPX,061_0_A,"{u'061': {u'position': 2.0, u'score': 0.61235887}}",66a025c43042c412de8c5284,2,worm
ROUND-01-061_061_0_B-B1BWZ0,"The word worms has various meanings: biologically, it refers to segmented worms (annelids), roundworms (nematodes), and flatworms (platyhelminthes), as well as small, soft-bodied invertebrates; medically, it denotes parasitic worms like hookworms and pinworms; in computing, it describes self-replicating malicious software; idiomatically, it is used in phrases like ""opening a can of worms"" (creating a complicated situation) and ""worm one's way"" (acting sneakily); culturally, it can refer to the ""Worms"" video game series or the ""worm"" dance move; and geologically, it pertains to worm burrows or fossils found in sedimentary rocks.",1,61,B1BWZ0,061_0_B,"{u'061': {u'position': 3.0, u'score': 0.6318973}}",66a025c43042c412de8c5286,3,worm
ROUND-01-061_061_0_A-8HAMF4,"A worm is any of various unrelated invertebrate animals that typically have soft, slender, elongated bodies. Worms usually lack appendages. Worms are members of several invertebrate phyla, including Platyhelminthes, Annelida, Nematoda, Sipuncula, Echiura, Acanthocephala, Pogonophora, and Chaetognatha. The term is also loosely applied to centipedes and millipedes, to larval forms of other invertebrates, particularly those of certain insects, and to some vertebrates. These include the blindworm, a limbless, snakelike lizard. At one time all phyla of worm like animals were classed as Vermes, a term no longer in common use. The major groups of worms include various species of flatworm, annelid, ribbon worm, spiny-headed worm, and aschelminth. Worms typically have an elongated, tube like body, usually rather cylindrical, flattened, or leaf like in shape and often without appendages. They vary in size from less than 1 millimeter in certain nematodes to more than thirty meters in certain ribbon worms.",1,61,8HAMF4,061_0_A,"{u'061': {u'position': 5.0, u'score': 0.6290901}}",66a025c43042c412de8c52d7,5,worm
ROUND-01-061_061_0_A-PHSFCK,"Worms are many different distantly related bilateral animals that typically have a long cylindrical tube-like body, no limbs, and usually no eyes
Worms vary in size from microscopic to over 1 metre (3.3 ft) in length for marine polychaete worms (bristle worms);[1] 6.7 metres (22 ft) for the African giant earthworm, Microchaetus rappi;[2] and 58 metres (190 ft) for the marine nemertean worm (bootlace worm), Lineus longissimus.[3] Various types of worm occupy a small variety of parasitic niches, living inside the bodies of other animals. Free-living worm species do not live on land but instead live in marine or freshwater environments or underground by burrowing.
In biology, ""worm"" refers to an obsolete taxon, Vermes, used by Carolus Linnaeus and Jean-Baptiste Lamarck for all non-arthropod invertebrate animals, now seen to be paraphyletic. The name stems from the Old English word wyrm.
40000 Viewed this article.
",1,61,PHSFCK,061_0_A,"{u'061': {u'position': 6.0, u'score': 0.6218903}}",66a025c43042c412de8c52d8,6,worm
ROUND-01-061_061_0_B-NN78TZ,"Worms are many different distantly related bilateral animals that typically have a long cylindrical tube-like body, no limbs, and usually no eyes.
Worms vary in size from microscopic to over 1 metre in length for marine polychaete worms (bristle worms) 6.7 metres for the African giant earthworm, Microchaetus rappi and 58 metres for the marine nemertean worm (bootlace worm), Lineus longissimus. Various types of worm occupy a small variety of parasitic niches, living inside the bodies of other animals. Free-living worm species do not live on land but instead live in marine or freshwater environments or underground by burrowing.
In biology, ""worm"" refers to an obsolete taxon, Vermes, used by Carolus Linnaeus and Jean-Baptiste Lamarck for all non-arthropod invertebrate animals, now seen to be paraphyletic. The name stems from the Old English word wyrm. Most animals called ""worms"" are invertebrates, but the term is also used for the amphibian caecilians.",1,61,NN78TZ,061_0_B,"{u'061': {u'position': 4.0, u'score': 0.62964994}}",66a025c43042c412de8c52d9,4,worm
